Agency,Recipient,Description,Date,SAVED
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE","COMMODITIES PROJECT OF $1,065,000.00",3/1/2025,0.0
USAID,NPI,"COMMODITIES PROJECT OF $1,500,000.00",3/1/2025,0.0
USAID,"AMERICAN COMMITTEE FOR THE WEIZMANN INSTITUTE OF SCIENCE, INC.","COMMODITIES PROJECT OF $1,275,000.00",3/1/2025,0.0
USAID,LEBANESE AMERICAN UNIVERSITY,"COMMODITIES PROJECT OF $1,500,000.00",3/1/2025,0.0
USAID,ACDI/VOCA,VICTORY AGAINST MALNUTRITION PLUS (VIMPLUS),3/1/2025,0.0
USAID,UNITED NATIONS OFFICE FOR PROJECT SERVICES,CITIES ALLIANCE PIO,3/1/2025,0.0
USAID,AFRICAN DE DEVELOPPEMENT BANK GROUP SA,CONTRIBUTION TO PROGRAM TO BOOST THE LOCAL PRODUCTION OF CEREALS AND O...,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,THE COLLABORATIVE WILL DELIVER GLOBAL KNOWLEDGE PRODUCTS AND TOOLS TO ...,3/1/2025,0.0
USAID,ASIAN VEGETABLE RESEARCH AND DEVELOPMENT CENTER,“VEGETABLE PRODUCTION FOR IMPROVED RESILIENCE AND NUTRITION PROGRAM” I...,3/1/2025,0.0
USAID,AKADEMIYA2063 (A2063),COOPERATIVE AGREEMENT WITH AKADEMIYA2063 TO ESTABLISH THE FEED THE FUT...,3/1/2025,0.0
USAID,GLOBAL CROP DIVERSITY TRUST,CONTRIBUTION TO THE GLOBAL CROP DIVERSITY TRUST’S OVERALL ORGANIZATION...,3/1/2025,0.0
USAID,ALLIANCE FOR A GREEN REVOLUTION IN AFRICA,AGRA PIO TO STRENGTHEN AFRICA’S SEED SYSTEMS IS A FUNDAMENTAL REQUIREM...,3/1/2025,0.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,No description available,3/1/2025,0.0
USAID,COOPERATIVE HOUSING FOUNDATION,No description available,3/1/2025,0.0
USAID,"SAVE THE CHILDREN FEDERATION, INC.",No description available,3/1/2025,0.0
USAID,JSPE MANAGEMENT LLC,No description available,3/1/2025,0.0
USAID,ABRAAJ CAPITAL PAKISTAN LIMITED,No description available,3/1/2025,0.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,No description available,3/1/2025,0.0
USAID,ASIAN DEVELOPMENT BANK,No description available,3/1/2025,0.0
USAID,SMALL ENTERPRISE ASSISTANCE FUNDS,No description available,3/1/2025,0.0
USAID,"COUNTERPART INTERNATIONAL, INC.",No description available,3/1/2025,0.0
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,No description available,3/1/2025,0.0
USAID,POPULATION SERVICES INTERNATIONAL,No description available,3/1/2025,0.0
USAID,FREEDOM HOUSE,No description available,3/1/2025,0.0
USAID,CRS - USCCB,No description available,3/1/2025,0.0
USAID,ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,TUNISIAN-AMERICAN ENTERPRISE FUND,No description available,3/1/2025,0.0
USAID,IFDC,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,INTERNATIONAL TRADE CENTRE,No description available,3/1/2025,0.0
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,No description available,3/1/2025,0.0
USAID,CROSSBOUNDARY LLC,No description available,3/1/2025,0.0
USAID,"SAVE THE CHILDREN FEDERATION, INC.",No description available,3/1/2025,0.0
USAID,"WORLD WILDLIFE FUND, INC.",No description available,3/1/2025,0.0
USAID,MOMENTUM WHEELS FOR HUMANITY,No description available,3/1/2025,0.0
USAID,UNITED NATIONS,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundacion Avina Argentina,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PRO VIVIENDA SOCIAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Civil Programa Andrés Rosario,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PRO VIVIENDA SOCIAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Love Foundation,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Asociación de Padres Madres y Familiares de Niños, Niñas y Jovenes con Discapacidad Jach´a Uru",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación ECOTOP,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ONG Asociación PROCESO Servicios Educativos,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comissão PAstoral da Terra,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Cáritas Brasileira Regional Maranhão,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comradio do Brasil Instituto,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Casa da Mulher do Nordeste,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CARITAS BRASILEIRA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDO POSITIVO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,INSTITUTO DE DESENVOLVIMENTO E FORMAÇÃO CIDADÃ,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Escola Família Agrícola Jaguaribana,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Educação Popular e Formação Social,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Instituto Fazer Acontecer,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASSOCIAÇÃO INDIGENA ABANATSA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro Cultural Kàjre,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação do Povo Indígena Amondawa,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Comunitária do Amarelão,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Indígena Myky Waypjatápja Mananukje?y,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Instituto Asas e Raízes Pitaguary,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Indígena Tapayuna,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASSOCIAÇÃO INDÍGENA FWLATATHA FUNI-Ô,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Coletivo de Agricultores e Agricultoras Familiares Indígenas Xakriabá,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Conselho Indígena Tremembé de Queimadas,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Paraibana dos Produtores de Mel da Baía da Traição,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Redes de Desenvolvimento da Maré,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fond St Jacques Development Committee,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Capítulo Chileno de Transparencia Internacional,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ONG Comité para la Democratización de la Informática,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION DE PRODUCTORES INDIGENAS Y CAMPESINOS DE RIOSUCIO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Corporación Grupo Semillas,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Unión Temporal Construyendo Esperanza,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CORPORACIÓN ANDARES IDA Y VUELTA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION DE PRODUCTORES DEL MEDIO ATRATO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION AMBIENTAL DAPAVIVA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundacion Centro de Investigación y Educacion Popular,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACIÓN ETNOLLANO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION PARA EL DESARROLLO CAMPESINO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Corporación Taller Prodesal Promoción Popular y de alternativas al desarrollo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CORPORACION INSTITUTO INTERNACIONAL SOBRE RAZA IGUALDAD Y DERECHOS HUMANOS,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Corporación Buen Ambiente,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Centro de Derechos Sociales del Inmigrante,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Fondo de Promoción y apoyo Social Comunitario Guanacaste,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Mar a Mar Costa Rica,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,GUAKIA AMBIENTE,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Cacaocultores los Innovadores de Vuelta Larga,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Federación de Caficultores y Agricultores para el Desarrollo de San Juan, Inc..",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fideicomiso Ecuatoriano de Cooperacion para el Desarrollo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PARA EL DESARROLLO SOCIOECONOMICO Y RESTAURACION AMBIENTAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ACOPROERICK de R.L.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Federación de asociaciones cooperativas pesqueras artesanales de El Salvador,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Asociacion Cooperativa de Produccion Artesanal, aprovisionamiento, comercialización ahorro y credito, La Red Unión de Mujeres de Responsabilidad Limitada",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro Cultural y De Las Artes Monseñor Oscar Arnulfo Romero,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION DE PRODUCTORES AGROECOLOGICOS Y ORGANICOS DE LA SIERRA TECAPA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación El Bálsamo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Agencia de Desarrollo Económico Local,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PARA EL DESARROLLO SOCIOECONOMICO Y RESTAURACION AMBIENTAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Red de Sobrevivientes y Personas con Discapacidad,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Centro de Estudios de la Diversidad Sexual y Generica,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Cooperativa de Produccion Agropecuaria de Usulutan de Responsabilidad Limitada,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION SANTA TERESA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,PERKIN EDUCATIONAL OPPORTUNITIES FOUNDATION INC,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Desarrollo Económico Local de Morazán,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Grupo de Acción Territorial de la cuenca Bahía de Jiquilisco,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Mujeres Adelina Caal Maquin del Municipio de Fray Bartolomé de Las Casas.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Dirigentes Comunitarios,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Forestería Comunitaria de Guatemala Utz Che´,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Sobrevivencia Cultural,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Civil de Pequeños y Medianos Agricultores del Kape,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Union de Pequeños Caficultores UPC,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Centro Internacional para Investigaciones en Derechos Humanos ONG,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Mujeres Río Isquizal del Municipio de San Sebastián Huehuetenango,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Regional Campesina Chorti,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Educacional para el Desarrollo Integral de los Movimientos Comuntarios ENTRE MUNDOS,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organización para el desarrollo integral de Guatemala Sembrando Esperanza ONG,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ORGANIZACION NO GUBERNAMENTAL NA'LEB'AK ONG,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COOPERATIVA INTEGRAL DE PRODUCCION PUEBLO UNIDO RESPONSABILIDAD LIMITADA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Consejos de Guías Espirituales Releb´aal Saq´e,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Organizaciones de Los Cuchumatanes,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Asociacion de Asentamientos Unidos del Area Ixil, Nebaj Quiché",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Vivamos Mejor,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Lambda,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fanm Deside,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organisation des paysans de Labiche,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Coopérative Espoir pour Demain,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Union des Paysans Tet Kole de Mahotiere,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,UNITE DE LUTTE POUR LA SANTE,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Association pour le Developpement des Paysans de Mecette,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Koperativ konsomasyon atizanal bi miltip,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Òganizasyon Pou devlopman pak,orange de leyogàn",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Action des Cadres pour l'Acompagnement et l'Integration des Organisations au Developpement Rural,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Comunitaria Puca,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación para el Manejo Integrado de Cuencas de la Paz y Comayagua,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Centro de Desarrollo Empresarial de la Micro, Pequeña, y Mediana Empresa de la Región Occidente",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Madera Verde,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Empresa de Servicios Multiples Artesanos y Guías de El Pino,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Unión Regional de Pescadores Artesanales del Golfo de Fonseca,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Centro Intercomunitario de Atención a Personas con Discapacidad Solidaridad,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Comités Ecológicos del Sur de Honduras,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Women's Resource and Outreach Centre,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Family and Parenting Centre,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ProYungas,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Estudios Regionales para el Desarrollo de Tarija,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Grupo Sunu de Acción Intercultural,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COOP DE TRABAJO COOP SOL LTDA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Fútbol para el Desarrollo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asocaición de Comunidades Forestales de Petén,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Worldwide Initiatives for Grantmaking Support Inc.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Estoreña Para el Desarrollo Integral,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,OGUASU,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Coordinadora Latinoamericana y del Caribe de Pequeños (as) Productores (as) y Trabajadores (as) de Comercio Justo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CFLeads,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,RED LATINOAMERICANA DE INVERSION SOCIAL Y FILANTROPIA ESTRATEGICA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACIÓN ECUATORIANA DE MUJERES RURALES DE LATINOAMERICA Y EL CARIBE,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Young Americas Business Trust,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Social Science Research Council,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Estudios Rurales y Asesoría Campesina,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Comunitaria Puebla,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ALIANZA FC MEXICO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"OLLIN, JOVENES EN MOVIMIENTO, A.C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Amigos de San Cristobal, A.C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"México y Caribe Jóvenes, A.C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Servicios y Asesoria para la Paz,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Finca Triunfo Verde Sociedad Civil,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Laboratorio de Imaginacion y Accion Social A.C.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Magueyal, Sujeto y Comunidad, A. C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comisión de Apoyo a la Unidad y Reconciliación Comunitaria,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CONSERVACION DE LA NATURALEZA EN OAXACA A.C.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CENTRO DE ATENCIÓN INFANTIL PIÑA PALMERA A.C.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,GRUPO DE ESTUDIOS SOBRE LA MUJER ROSARIO CASTELLANOS,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Fundación para el Desarrollo Integral, Comunitario y Conservación de los Ecosistemas en Panamá",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"SOCIEDAD Y DISCAPACIDAD:ESTUDIOS,ASESORIA E INTEGRACION DE LA PERSONA CON DISCAPACIDAD - SOCIEDAD y DISCAPACIDAD",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COOPERATIVA AGRARIA NORANDINO LTDA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Estudios y Desarrollo Social,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,TALLER DE CAPACITACION E INVESTIGACION FAMILIAR,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Las Pregoneras,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COORD. DEPARTAMENTAL DE MUJERES DE SAN PEDRO DEL YCUAMANDYJU,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Semillas para la Democracia,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Aireana, grupo por los derechos de las lesbianas",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Federacion de Entidades Vecinalistas del paraguay,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa Construyendo Puentes Dignos,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,MANOS DEL URUGUAY,No description available,3/4/2025,0.0
USAID,VIET-NAM ASSISTANCE FOR THE HANDICAPPED,No description available,3/10/2025,0.0
USAID,"POPULATION REFERENCE BUREAU, INC.",THE PURPOSE OF MOMENTUM 2C: ADVANCING COLLABORATION AND COMMUNICATION...,3/10/2025,0.0
USAID,COOPERATIVE HOUSING FOUNDATION,USAID/WEST BANK AND GAZA GAZA HOUSEHOLD WASH ACTIVITY,3/10/2025,0.0
USAID,CENTRE FOR INFECTIOUS DISEASE RESEARCH IN ZAMBIA LIMITED,THE PURPOSE OF THE USAID EMPOWERED YOUTH PROGRAM III IS TO IMPROVE THE...,3/10/2025,0.0
USAID,POPULATION SERVICES INTERNATIONAL,THE PURPOSE OF THE ACTIVITY IS “TO IMPROVE HEALTH OUTCOMES OF VULNERA...,3/10/2025,0.0
USAID,WITS HEALTH CONSORTIUM (PTY) LTD,HIV EPIDEMIC CONTROL IN SOUTH AFRICA PIVOTS ON THE SUCCESS OF PROVIDIN...,3/10/2025,0.0
USAID,WITS HEALTH CONSORTIUM (PTY) LTD,SCHOOL BASED HIV AND GENDER BASED VIOLENCE PREVENTION,3/10/2025,0.0
USAID,SWAA BURUNDI,URISANZE (“FEEL AT HOME’) ACTIVITY WILL INCREASE ACCESS TO COMPREHENS...,3/10/2025,0.0
USAID,"FEDECOVERA, R. L.",TO PROVIDE HUMANITARIAN ASSISTANCE TO VULNERABLE COMMUNITIES IN GUATEM...,3/10/2025,0.0
USAID,ANKAWA HUMANITARIAN COMMITTEE OF ERBIL,STRENGTHENING THE ANKAWA HUMANITARIAN COMMITTEE TO RESPOND,3/10/2025,0.0
USAID,CORPORACION FAVORITA C.A.,THE PURPOSE OF THIS ACTIVITY IS GENERATING INCLUSIVE ECONOMIC OPPORTUN...,3/10/2025,0.0
USAID,FUNDACION AMIGOS DE LA NATURALEZA,HUMANITARIAN ASSISTANCE - WILDFIRE RESPONSE IN BOLIVIA.,3/10/2025,0.0
USAID,JOHN SNOW HEALTH ZAMBIA LIMITED,THE OBJECTIVE OF THIS ACTIVITY IS TO ADDRESS THE NEEDS OF PEOPLE LIVIN...,3/10/2025,0.0
USAID,CRS - USCCB,TO APPROVE A NEW IDA EMERGENCY AWARD TO CRS IN MADAGASCAR FOR AGRICULT...,3/10/2025,0.0
USAID,DANSK FLYGTNINGEHJAELP,H2H NETWORK – RAPID RESPONSE FUND AND ACCELERATOR,3/10/2025,0.0
USAID,CRS - USCCB,NEW AWARD; YEAR 1 OF A 24 MONTH INCREMENTALLY FUNDED AWARD TO A CRS-LE...,3/10/2025,0.0
USAID,CRS - USCCB,"FOOD SECURITY AWARD TO ASSIST VULNERABLE COMMUNITIES IN INTIBUCA, LA P...",3/10/2025,0.0
USAID,NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN,"(AF20221596) NRC MOZAMBIQUE: TO PROVIDE ECONOMIC RECOVERY, AGRICULTURE...",3/10/2025,0.0
USAID,SI,AWARDING AGENCY: U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT CFDA LI...,3/10/2025,0.0
USAID,CRS - USCCB,HUMANITARIAN ASSISTANCE TO VULNERABLE COMMUNITIES IN EL SALVADOR,3/10/2025,0.0
USAID,MERCY CORPS,NEW AWARD- INCLUSIVE WASH ASSISTANCE FOR DISPLACED IRAQIS,3/10/2025,0.0
USAID,ACTED,AWARDING AGENCY: U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT CFDA LI...,3/10/2025,0.0
USAID,NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN,SUPPORTING NGO CO-COORDINATION IN THE PROTECTION AND WASH CLUSTERS AND...,3/10/2025,0.0
USAID,CRS - USCCB,THE PROJECT IS TO RESTORE AND IMPROVE CROP PRODUCTION AND RESILIENCE T...,3/10/2025,0.0
USAID,WORLD VISION INC.,"TO SUPPORT AGRICULTURE, ECONOMIC RECOVERY AND MARKET SUPPORT, FOOD SEC...",3/10/2025,0.0
USAID,ENTRAIDE PROTESTANTE SUISSE (EPER) (SWISS CHURCH AID (HEKS/EPER,THIS PROGRAM WILL PROVIDE LIFE SAVING ASSISTANCE TO VULNERABLE HOUSEHO...,3/10/2025,0.0
USAID,"INTERNATIONAL RESCUE COMMITTEE, INC.","HEALTH, NUTRITION, PROTECTION AND SHELTER AND SETTLEMENTS ACTIVITIES F...",3/10/2025,0.0
USAID,FOLKEKIRKENS NODHJAELP,FOR A NEW PROTECTION AWARD IN MALI.,3/10/2025,0.0
USAID,DANSK FLYGTNINGEHJAELP,AWARDING AGENCY: U.S. AGENCY FOR INTERNATIONAL DEVELOPMENT CFDA LI...,3/10/2025,0.0
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,"TO PROVIDE PROTECTION, FOOD ASSISTANCE, AND ECONOMIC RECOVERY TO 13,20...",3/10/2025,0.0
