Agency,Uploaded On,Description,Saved
USAID,3/10/2025,HEALTH RESILIENCE,4900000.0
USAID,3/10/2025,"THE PURPOSE OF THE USAID/ETHIOPIA QUALITY HEALTHCARE ACTIVITY IS TO BUILD THE CAPACITY OF URBAN AND PERI-URBAN PHCUS AND REFERRAL HEALTH FACILITIES IN PLANNING AND DELIVERING CLIENT-CENTERED, QUALITY RMNCAH SERVICES.",23634859.0
USAID,3/10/2025,PROVIDE SUPPORT TO ADDRESS THE PUBLIC PURPOSE OF IMPROVING NUTRITIONAL OUTCOMES TO IMPROVE THE NUTRITIONAL STATUS OF WOMEN AND CHILDREN THROUGH IMPROVING APPROPRIATE NUTRITIONAL PRACTICES AND UTILIZATION OF NUTRITION SERVICES IN THE COMMUNITIES THROUGH EVIDENCE-BASED AND THEORY-GROUNDED INTERVENTIONS.,34499345.0
USAID,3/10/2025,USAID TB LOCAL ORGANIZATIONS NETWORK FOR KEY AFFECTED AND VULNERABLE POPULATION (KAP) ACTIVITY IN DEVELOPING REGIONAL STATES (DRS).,5555000.0
USAID,3/10/2025,"THE PURPOSE OF THIS USAID/ETHIOPIA FIVE-YEAR ASSISTANCE ACTIVITY, ENTITLED USAID LOWLANDS HEALTH, IS TO SUPPORT AN ORGANIZATION OR A GROUP OF ORGANIZATIONS, FROM HERE ON KNOWN AS “RECIPIENT” OR “CONSORTIUM”, WHO SHARE THE EXPRESSED PUBLIC PURPOSE OF IMPROVING HEALTH AND NUTRITION OUTCOMES IN THE PASTORAL GEOGRAPHIES OF ETHIOPIA, THROUGH INCREASED ACCESS AND UTILIZATION OF QUALITY REPRODUCTIVE, MATERNAL, NEWBORN, CHILD, AND ADOLESCENT & YOUTH HEALTH AND NUTRITION (RMNCAH-N) SERVICES.",20128568.0
USAID,3/10/2025,"THE OVERALL OBJECTIVE OF USAID EMPOWERED COMMUNITIES ACTIVITY IS TO ACHIEVE BETTER HEALTH AND NUTRITIONAL OUTCOMES THROUGH IMPROVED COMMUNITY OWNERSHIP OF HEALTH AND STRENGTHENED SOCIAL ACCOUNTABILITY SYSTEMS AND PLATFORMS. THE ACTIVITY WILL BE PRIMARILY FUNDED WITH FAMILY PLANNING, AND MATERNAL AND CHILD HEALTH FUNDING. THEREFORE, ALL EXPECTED RESULTS AND PROPOSED INTERVENTIONS SHOULD CONTRIBUTE TO THE BETTERMENT OF THE LIVES OF WOMEN, CHILDREN, YOUTH AND MEN ULTIMATELY, IMPROVED REPRODUCTIVE, MATERNAL, NEWBORN, CHILD AND ADOLESCENT HEALTH AND NUTRITION (RMNCAH-N) OUTCOMES.",24878075.0
USAID,3/10/2025,"REACH II WILL RAPIDLY APPLY AND SCALE-UP EVIDENCE-BASED, INNOVATIVE, AND TAILORED STRATEGIES TO STRENGTHEN THE CONTINUUM OF CARE (COC) FROM CHILDHOOD TO YOUNG ADULTHOOD FOR THOSE LIVING WITH HIV AND THOSE HIV- NEGATIVE IN KAVANGO. ADDRESSING THE COMPLEX AND INTERSECTIONAL STRUCTURAL ISSUES, WE WILL NARROW INEQUALITIES, IMPROVE HEALTH, WELLBEING, AND PROTECTION, AND ULTIMATELY CONTRIBUTE TO HIV EPIDEMIC CONTROL.",2302133.0
USAID,3/10/2025,"THE PURPOSE OF THIS COOPERATIVE AGREEMENT IS TO AVERT NEW INFECTIONS FOR CHILDREN AND YOUTH AND IMPROVE TREATMENT OUTCOMES FOR HIV POSITIVE CHILDREN AND ADOLESCENTS BY INCREASING ACCESS TO COMPREHENSIVE HIV PREVENTION AND IMPACT MITIGATION SERVICES AND STRENGTHENING RESILIENCE IN VULNERABLE CHILDREN, ADOLESCENTS, AND YOUTH,",16086684.0
USAID,3/10/2025,¿ACCELERATING PROGRAM ACHIEVEMENTS TO CONTROL THE EPIDEMIC (APACE) ACTIVITY IN SOUTH AFRICA¿ WHICH AIMS TO ACCELERATE THE HIV RESPONSE IN GAUTENG PROVINCE (JOHANNESBURG AND SEDIBENG DISTRICTS) AND IN LIMPOPO PROVINCE (CAPRICORN AND MOPANI DISTRICTS).,138390211.0
USAID,3/10/2025,AWARD TO BROADREACH HEALTHCARE TO IMPLEMENT THE USAID/SOUTHERN AFRICA BILATERAL HEALTH CARE & TREATMENT ACTIVITIES.,13077690.0
USAID,3/10/2025,"M2M WILL BE THE LEAD PARTNER (PRIME)ON THE CHILDREN AND ADOLESCENTS ARE MY PRIORITY (HEREAFTER REFERRED TO AS OUR PROJECT, CHAMP)ACTIVITIES IN THE MPUMALANGA PROVINCE. CHAMP WILL IMPLEMENT EFFECTIVE CASE MANAGEMENT SYSTEMS TO ENSURE OVCA&Y ARE IDENTIFIED, THEIR NEEDS CORRECTLY ASSESSED, AND ARE ¿GRADUATED¿ USING LOCALLY AGREED CRITERIA. BY YEAR 3, REFERRAL PATHWAYS AND SYSTEMS FOR CROSS-SECTORAL CASE MANAGEMENT ARE SIGNIFICANTLY STRENGTHENED.",1675484.0
USAID,3/10/2025,"HIV EPIDEMIC CONTROL IN SOUTH AFRICA PIVOTS ON THE SUCCESS OF PROVIDING APPROPRIATE SERVICES FOR KEY POPULATIONS, INCLUDING SEX WORKERS (SWS), THEIR CLIENTS, AND TRANSGENDER (TG) PEOPLE. WITS REPRODUCTIVE HEALTH AND HIV INSTITUTE (WITS RHI) IS A NATIONAL LEADER IN DEVELOPING A MODEL OF PROVISION OF ACCESSIBLE CLINICAL INTERVENTIONS FOR SWS. OUR EXISTING HIGHLY SUCCESSFUL PEPFAR-SUPPORTED 5-YEAR SEX WORKER PROGRAM IS CURRENTLY IMPLEMENTED IN FIVE PROVINCES OF THE COUNTRY, AND WE PLAN TO EXPAND AN ADAPTED MODEL TO PROVIDE SIMILAR COMPREHENSIVE SERVICES FOR TG POPULATIONS. IN THE FACE OF REMARKABLY HIGH HIV RISK WITHIN BOTH COMMUNITIES, WE HAVE INTERVENTIONS TO ADDRESS RISK-TAKING BEHAVIORS, AND DEMONSTRATED INNOVATIVE SERVICE DELIVERY MODELS FOR HIV CARE, TREATMENT AND PREVENTION THAT ARE LED BY EACH COMMUNITY AND EFFECTIVE IN BOTH CLINIC AND COMMUNITY SETTINGS. SOUTH AFRICA¿S UNIQUELY ENABLING ENVIRONMENT FOR SW AND TG HEALTH INTERVENTIONS SUPPORTS OUR EFFORTS TO BRING THESE SUCCESSES TO SCALE AND INCLUDES: ¿ THE SOUTH AFRICAN NATIONAL SW HIV PLAN 2016-2019 , LED BY THE SOUTH AFRICAN NATIONAL AIDS COUNCIL (SANAC) AND SUPPORTED BY PEPFAR, THAT CLEARLY DELINEATES HEALTH SERVICE EXPECTATIONS WITHIN THE NATIONAL HEALTH SERVICES; AND DIRECT MENTION OF THE IMPORTANCE OF ADDRESSING SW AND TG HIV VULNERABILITY IN BOTH THE CURRENT (2017-2022) AND PRIOR VERSIONS OF THE NATIONAL STRATEGIC PLAN FOR HIV, TB AND STIS (NSP); ¿ SOUTH AFRICA¿S BILL OF RIGHTS (CHAPTER 2, SECTION 9.3) ENSHRINES THE HUMAN RIGHTS OF LGBTI PEOPLE. IN 2014 THE GOVERNMENT OF SOUTH AFRICA (GOSA) LAUNCHED THE NATIONAL INTERVENTION STRATEGY FOR LESBIAN, GAY, BISEXUAL, TRANSGENDER AND INTERSEX (LGBTQI) SECTOR (2014-2017), ADVOCATING FOR AN INTERSECTIONAL APPROACH TO PREVENT DISCRIMINATION AND VIOLENCE AGAINST LGBTI PERSONS. IN 2017 SANAC RELEASED THE NATIONAL LGBTI HIV PLAN (2017-2022). BOTH DOCUMENTS HAVE THE OBJECTIVE OF CLOSING THE GAP BETWEEN POLICY AND PRACTICE IN ORDER TO REALIZE THE RIGHTS OF LGBTI PEOPLE AND UNDERPIN OUR TECHNICAL APPROACH TO TG PROGRAMMING. ¿ SUSTAINED FUNDING FROM EXTERNAL DONORS FOR SW AND TG HEALTH INTERVENTIONS, INCLUDING FROM PEPFAR, THE GLOBAL FUND, THE BILL AND MELINDA GATES FOUNDATION, AND AIDSFONDS; ¿ PRIORITIZING SWS AND TG PEOPLE FOR HIV PREVENTION INTERVENTIONS WITHIN THE DEPARTMENT OF HEALTH (DOH), INCLUDING ONE OF THE WORLD¿S LARGEST PRE-EXPOSURE PROPHYLAXIS (PREP) PROGRAMS, AND FOR REMOVAL OF CD4 THRESHOLDS FOR ANTIRETROVIRAL THERAPY (ART) INITIATION; ¿ FREE ACCESS TO ALL CLINICAL PRIMARY CARE REQUIREMENTS FOR SWS AND TG PEOPLE, INCLUDING HIV TESTING, ART, PREP, MALE AND FEMALE CONDOMS, SEXUALLY TRANSMITTED INFECTION (STI) TREATMENT AND CONTRACEPTION, AND LABORATORY SERVICES; ¿ CONTINUED GROWTH OF AN ACTIVE, SOPHISTICATED CIVIL-SOCIETY SW MOVEMENT THAT HAS INCREASING REACH WITHIN LARGE SW COMMUNITIES, AS WELL AS TG ISSUES FEATURING MORE PROMINENTLY WITHIN MANY ORAGANIZATIONS, AND SEVERAL BESPOKE TG-LED COMMUNITY ORGANIZATIONS EMERGING; ¿ POLITICAL ENGAGEMENT AT THE HIGHEST LEVEL, INCLUDING THE DEPUTY PRESIDENT, THE DEPARTMENT OF SOCIAL DEVELOPMENT (DSD), THE SOUTH AFRICAN POLICE SERVICES (SAPS), AND THE GOVERNMENT. HOWEVER, SIGNIFICANT CHALLENGES STILL HINDER EXPANSION OF INTERVENTIONS THAT WOULD FURTHER SUPPORT EFFECTIVE HIV PREVENTION AND CARE: ¿ CONTINUED, EXTREMELY HIGH LEVELS OF HIV AND STIS AMONG SWS AND TG PEOPLE, ESPECIALLY AMONG THE YOUNG DEMOGRAPHIC, AND WITHIN SURROUNDING COMMUNITIES; ¿ RISK-TAKING BEHAVIORS SUCH AS INCONSISTENT CONDOM USE AND SUBSTANCE ABUSE; ¿ LIMITED IMPLEMENTATION OF THE SW PLAN AND NSP RECOMMENDATIONS AT A GRASSROOTS LEVEL, WITH INADEQUATE COVERAGE, UNDERMINING EPIDEMIC CONTROL; ¿ POOR LINKAGE TO CARE, TREATMENT AND PREVENTION INTERVENTIONS; ¿ CONTINUED STIGMA, DISCRIMINATION, POLICE ABUSE AND GENDER-BASED VIOLENCE (GBV); ¿ A GROWING AND COMPLEX COMMUNITY OF MALE AND TG SWS. ¿ POOR ACCESS TO DEDICATED TG HEALTH SERVICES FOR THE COMMUNITY, IN",0.0
USAID,3/10/2025,IMPLEMENTATION OF THE HIV/AIDS CARE AND TREATMENT ACTIVITIES UNDER PEPFAR IN SA.,11491146.0
USAID,3/10/2025,"PROJECT GOAL AND OBJECTIVES THIS ACTIVITY WILL CONTINUE AND EXPAND THE MAY¿KHETHELE PROJECT TO IMPROVE THE HEALTH AND WELL-BEING OF 723 421 OVCA&Y WHO ARE LIVING WITH, AFFECTED BY AND VULNERABLE TO HIV. THIS IS APPROXIMATELY 80% OF THE YOUTH POPULATION IN THE TARGET 3 AREAS AS PER THE RFA. OUT OF THIS TARGET, 122 804 WILL BE FROM UMGUNGUNDLOVU (MSUNDUZI AND RICHMOND SUB-DISTRICTS) AND 600 617 FROM ETHEKWINI (NORTH, WEST AND SOUTH) DISTRICTS OF KZN PROVINCE. THE PROJECT WILL ENSURE THAT 60 % OF BENEFICIARIES ARE AGYW. IT WILL ADDRESS THE NEEDS OF OVCA&Y AND THEIR PRIMARY CAREGIVERS BY ACHIEVING THE FOLLOWING OBJECTIVES: OBJECTIVE 1 (HEALTHY): THE FIRST OBJECTIVE IS TO IMPROVE OVCA&Y ACCESS TO SEXUAL REPRODUCTIVE HEALTH AND HIV CARE AND PREVENTIVE SERVICES THROUGH RELATED SMALL GROUP EVIDENCE-BASED INTERVENTIONS, FACILITATING ACCESS TO HTS (OFFERED DIRECTLY AT HOME AND THROUGH PARTNER FACILITIES) AND SUCCESSFUL LINKAGES TO ANTI-RETROVIRAL THERAPY, CONTRACEPTIVES AND OTHER HEALTH SERVICES. IT WILL ALSO PROVIDE PSYCHOSOCIAL AND PSYCHOLOGICAL SUPPORT TO INFECTED, BEREAVED OVCA&Y OR VICTIMS OF ABUSE. OBJECTIVE 2 (SAFE): THE SECOND OBJECTIVE IS TO IMPROVE CHILD PROTECTION AND PREVENTION OF GENDER BASED VIOLENCE (GBV) THROUGH DIRECT SUPPORT TO OVCA&Y, THEIR PRIMARY CAREGIVERS AND THE COMMUNITY. CINDI WILL PROVIDE CHILD PROTECTION EDUCATION AND PARENTING SKILLS TRAINING FOR CAREGIVERS, AND TRAINED PROJECT PERSONNEL WILL BE ABLE TO DETECT AND INITIATE REMOVAL OF CHILDREN FROM ABUSIVE ENVIRONMENTS. OBJECTIVE 3 (STABLE): THE THIRD OBJECTIVE IS TO IMPROVE HOUSEHOLD ECONOMIC SECURITY AND LINKAGE TO SOCIAL PROTECTION THROUGH PROVISION OF TRAINING AND SUPPORT TO BOTH OVCA&Y AND THEIR PRIMARY CAREGIVERS. CINDI WILL PREPARE ADOLESCENTS AND YOUTH FOR SELF-EMPLOYMENT OR THE JOB MARKET THROUGH FINANCIAL CAPABILITY, ENTREPRENEURSHIP AND EMPLOYABILITY TRAINING (ASPIRES). CAREGIVERS WILL RECEIVE SUPPORT TO ACCESS SOCIAL GRANTS AND BE ENROLLED IN SAVINGS GROUPS TO INCREASE FAMILY INCOME. OBJECTIVE 4 (SCHOOLED): THE FOURTH OBJECTIVE IS TO IMPROVE SCHOOL RETENTION AND PROGRESSION AND EARLY CHILDHOOD DEVELOPMENT. CINDI WILL DO THIS THROUGH THE PROVISION OF HOMEWORK SUPPORT AND TUITION CLUBS TO IDENTIFIED LEARNERS, PROVISION OF SCHOOL UNIFORMS, STATIONERY AND DISTRIBUTION OF SANITARY PADS TO MINIMIZE ABSENTEEISM. THROUGH HOME VISITS OUT OF SCHOOL YOUTHS WILL BE LINKED TO TERTIARY EDUCATION. CAREGIVERS WILL BE PROVIDED WITH HOUSEHOLD STIMULATING ECD PROGRAMS AND WILL ALSO BE PROVIDED WITH MATERIAL SUPPORT SUCH AS CLOTHES, TOYS AND STATIONERY TO ENHANCE ECD. 1.3 THEORY OF CHANGE THE PROJECT AIMS TO IMPROVE THE WELL-BEING OF OVCA&Y THE THROUGH EVIDENCE-BASED HIV PREVENTION AND SRH EDUCATION, HIV TESTING SERVICES, CHILD PROTECTION, CLINICAL NUTRITIONAL SUPPORT, GENERAL HEALTHCARE REFERRAL, HEALTHCARE SUPPORT FOR ACCESS TO ANTI-RETROVIRAL TREATMENT, EDUCATIONAL SUPPORT, PSYCHOLOGICAL CARE AND HOUSEHOLD ECONOMIC STRENGTHENING. CINDI HAS BEEN IMPLEMENTING AN OVCA&Y PROJECT SINCE OCTOBER 2007. THE PROJECT HAS USED THE LESSONS LEARNT AND APPLIES BEST PRACTICES TO IMPROVE OVCA&Y PROJECT IMPLEMENTATION IN SUBSEQUENT YEARS. FOR EXAMPLE: INCREASED ACCESS THROUGH HOME BASED TESTING; PROVIDING CONSISTENT STRUCTURED EVIDENCE BASED INTERVENTIONS ACROSS PARTNERS TO ENHANCE QUALITY SERVICE DELIVERY; FOCUS ON BUILDING THE CAPACITY OF PARENTS WITH NOT JUST ECONOMIC SUPPORT BUT EDUCATION AND ENGAGING THEM IN THE HIV PREVENTION INTERVENTIONS; STRONG CULTURAL TABOOS FOR PARENT-CHILD SEXUAL HEALTH COMMUNICATION CAN BE OVERCOME WITH TRAINED FACILITATORS AND EVIDENCE INFORMED AND CULTURALLY SENSITIVE CURRICULUMS. THE THEORY OF CHANGE (ANNEX A FIGURE 1) SETS OUT THE LOGIC MODEL (ANNEX C), WHICH ILLUSTRATES THE HYPOTHESIZED RELATIONSHIPS BETWEEN PROPOSED ACTIVITIES AND DESIRED PROJECT RESULTS AT EVERY LEVEL, INCLUDING OUTPUTS, OUTCOMES AND IMPACT. CINDI WILL IMPLEMENT SERVICE PACKAGES WITH A DIFFERENTIATED INTERVENTION MIX, DOSAGE, AND DELIVERY MECHANISM ACCORDING TO",3633519.0
USAID,3/10/2025,SCHOOL BASED HIV AND GENDER BASED VIOLENCE PREVENTION,0.0
USAID,3/10/2025,COMMUNITY BASED VIOLENCE PREVENTION AND LINKAGES TO RESPONSE IN SOUTH AFRICA,2506091.0
USAID,3/10/2025,"PROTECTING HIGHLY VULNERABLE CHILDREN-RESEARCH, MONITORING & QUALITY IMPROVEMENT ACTIVITY",1500000.0
USAID,3/10/2025,THE PURPOSE OF THIS ACTIVITY IS TO PREVENT NEW HIV INFECTIONS AND REDUCE VULNERABILITY AMONG ORPHANS AND VULNERABLE CHILDREN (OVC) AND ADOLESCENT GIRLS AND YOUNG WOMEN (AGYW).,1276146.0
USAID,3/10/2025,EPIDEMIC CONTROL OF HIV BY AVERTING NEW INFECTIONS AMONG ADOLESCENT GIRLS AND YOUNG WOMEN AND IMPROVE RESILIENCE AND TREATMENT OUTCOMES FOR CHILDREN AND ADOLESCENTS LIVING WITH HIV BY INCREASING ACCESS TO SUSTAINABLE SERVICES.,8578652.0
USAID,3/10/2025,"THE PURPOSE OF THIS ACTIVITY WILL BE TO CLOSE THE GAPS TO HIV EPIDEMIC CONTROL; SUSTAIN HEALTH GAINS THROUGH STRENGTHENED, IMPROVED, AND RESILIENT HEALTH SYSTEMS; AND LEVERAGE COMMUNITY, CIVIL SOCIETY, AND PRIVATE SECTOR PARTNERSHIPS TO IMPROVE AND SUSTAIN SERVICE DELIVERY AND CLIENT OUTCOMES IN LIMPOPO PROVINCE.",60205950.0
USAID,3/10/2025,ACTIVITY TITLE: THE SUSTAINED HIV EPIDEMIC CONTROL AND IMPROVED HEALTH OUTCOMES THROUGH STRENGTHENED PRIMARY HEALTH CARE AND SOCIAL SERVICE PLATFORMS IN BOTSWANA ACTIVITY- COMPONENT A,3162760.0
USAID,3/10/2025,"CHILDREN, ADOLESCENTS, AND FAMILIES IN THE HIV EPIDEMIC IN THE NORTH WEST PROVINCE.",18833265.0
USAID,3/10/2025,"THE GOAL OF THIS AWARD IS TO SUPPORT THE GOKL TO IMPROVE HEALTH OUTCOMES THROUGH THE DELIVERY OF HIGH-QUALITY INTEGRATED PEOPLE-CENTERED PREVENTION, CARE AND TREATMENT SERVICES THAT WILL PREVENT NEW CASES OF HIV AND TB AND SUSTAIN HIV AND TB EPIDEMIC CONTROL AND REDUCE MORBIDITY AND MORTALITY FROM COMMUNICABLE AND NON-COMMUNICABLE DISEASES, INCLUDING EMERGING PUBLIC HEALTH THREATS IN THE DISTRICTS OF MASERU, THABA TSEKA, MAFETENG, AND MOHALE’S HOEK.",38891999.0
USAID,3/10/2025,USAID SUSTAINING EPIDEMIC CONTROL THROUGH UNIFIED PREVENTION (SECURE) ACTIVITY,29957379.0
USAID,3/10/2025,"CHILDREN, ADOLESCENTS, AND FAMILIES IN THE HIV EPIDEMIC IN THE LIMPOPO PROVINCE ACTIVITY",9536500.0
USAID,3/10/2025,GUINEA LOCAL HEALTH SYSTEMS STRENGTHENING (GLHSS) ACTIVITY WILL CONTRIBUTE TO SELF-RELIANCE AND SUSTAINABILITY BY BUILDING THE CAPACITY AND COMMITMENT OF COMMUNITY HEALTH COMMITTEES TO COLLABORATE PRODUCTIVELY WITH THEIR STRENGTHENED LOCAL PUBLIC HEALTH FACILITIES. ENGENDERING GREATER TRUST OF LOCAL COMMUNITIES IN THE PUBLIC HEALTH SYSTEM WOULD RESULT IN STRONGER PARTICIPATION IN THE MANAGEMENT AND GOVERNANCE OF THE HEALTH SECTOR. INCREASED CAPACITY AND COMMITMENT OF COMMUNITY MEMBERS AND HEALTH FACILITY STAFF WOULD SUSTAIN GLHSS GAINS BEYOND THE LIFE OF THE ACTIVITY.,37118899.0
USAID,3/10/2025,USAID PREPARE BURKINA ACTIVITY FOR IMPLEMENTATION OF HEALTH SERVICES DELIVERY AWARD IN BURKINA FASO,7749047.0
USAID,3/10/2025,"UH WILL SUPPORT SENEGAL LOCAL GOVERNMENT AUTHORITIES (COLLECTIVITÉS TERRITORIALES), THE MINISTRY OF HEALTH (MOH), AND OTHER STAKEHOLDERS TO DEVELOP AND IMPLEMENT COMPREHENSIVE PLANS TO IMPROVE THE HEALTH STATUS OF VULNERABLE POPULATIONS IN UNDERSERVED DISTRICTS OF THE DAKAR REGION",3964343.0
USAID,3/10/2025,"THE GAMBIA PRESIDENT'S MALARIA INITIATIVE (PMI). THIS ACTIVITY WILL DELIVER QUALITY, HIGH-IMPACT MALARIA CONTROL AND PREVENTION SERVICES THROUGH PUBLIC AND COMMUNITY CHANNELS. IN LINE WITH THE GAMBIA'S NATIONAL MALARIA CONTROL STRATEGY, THE ACTIVITY WILL CONTRIBUTE TO A MEASURABLE REDUCTION IN MALARIA MORTALITY AND MORBIDITY.",10420000.0
USAID,3/10/2025,MADAGASCAR URBAN SANITATION ACTIVITY IS TO LEVERAGE THE IDENTIFIED OPPORTUNITIES AND INTRODUCE NEW STRATEGIES TO ACCELERATE PROGRESS IN ACHIEVING SUSTAINABLE SANITATION RESULTS AT SCALE IN TARGETED URBAN AND PERI-URBAN AREAS.,7498796.0
USAID,3/10/2025,USAID RANO MAHARITRA,25385230.0
USAID,3/10/2025,"URISANZE (“FEEL AT HOME’) ACTIVITY WILL INCREASE ACCESS TO COMPREHENSIVE HIV PREVENTION, CARE, AND TREATMENT SERVICES, AND STRENGTHEN SYSTEMS FOR PLANNING, MONITORING, EVALUATING, AND ASSURE THE QUALITY OF SERVICES ALONG THE PREVENTION-TO-CARE CONTINUUM FOR KEY POPULATIONS.",0.0
USAID,3/10/2025,"THRIVE ORPHANS AND VULNERABLE CHILDREN (OVC) - DETERMINED, RESILIENT, EMPOWERED, AIDS-FREE, MENTORED, AND SAFE (DREAMS) ACTIVITY (ODA). THE RECIPIENT WILL USE ITS AFFIRMED INNOVATIVE AND INCLUSIVE – TECH LED IMPLEMENTATION APPROACHES IN THE AREAS OF HIV PROGRAMMING, CHILD PROTECTION, POSITIVE PARENTING, YOUTH ENGAGEMENT, GENDER MAINSTREAMING AND WOMEN EMPOWERMENT, MALE ENGAGEMENT, ORPHANS AND VULNERABLE CHILDREN, DREAMS, SOCIAL BEHAVIOR CHANGE, AND ADAPTIVE MONITORING AND EVALUATION TO CONTRIBUTE TO REDUCING VULNERABILITY AND HIV INCIDENCE AMONG OVC AND THEIR HOUSEHOLDS AND AGYW IN NYARUGENGE AND MUHANGA DISTRICTS.",6108809.0
USAID,3/10/2025,"THRIVE ORPHANS AND VULNERABLE CHILDREN (OVC) - DETERMINED, RESILIENT, EMPOWERED, AIDS-FREE, MENTORED, AND SAFE (DREAMS) ACTIVITY (ODA) LOCALLY KNOWN AS USAID/IGIRE-WIYUBAKE. THE RECIPIENT WILL USE ITS TESTED AND INNOVATIVE IMPLEMENTATION APPROACHES IN THE AREAS OF CHILD PROTECTION, POSITIVE PARENTING, YOUTH ENGAGEMENT, GENDER MAINSTREAMING AND WOMEN EMPOWERMENT, MALE ENGAGEMENT, ORPHANS AND VULNERABLE CHILDREN, DREAMS, SOCIAL BEHAVIOR CHANGE AND ADAPTIVE MONITORING AND EVALUATION TO CONTRIBUTE TO REDUCING VULNERABILITY AND HIV INCIDENCE AMONG OVC AND THEIR HOUSEHOLDS AND ADOLESCENT GIRLS AND YOUNG WOMEN (AGYW) IN KICUKIRO DISTRICT.",4414282.0
USAID,3/10/2025,"THE PURPOSE OF INTEGRATED SERVICE DELIVERY ACTIVITY (ISDA) IS TO ACCELERATE REDUCTIONS IN MATERNAL, NEWBORN, AND CHILD MORBIDITY AND MORTALITY BY PARTNERING WITH THE GOVERNMENT OF RWANDA (GOR) TO STRENGTHEN THE CAPACITY OF HOST-COUNTRY INSTITUTIONS AND LOCAL ORGANIZATIONS TO IMPROVE EQUITABLE ACCESS AND UTILIZATION OF HIGH-QUALITY, EVIDENCE-BASED, AND RESPECTFUL PUBLIC HEALTH SERVICES. FOCUS AREAS ARE MATERNAL, NEWBORN, CHILD, AND ADOLESCENT HEALTH (MNCAH); FAMILY PLANNING (FP) AND REPRODUCTIVE HEALTH (RH); AND MALARIA. GIVEN THE ENVIRONMENT OF EMERGING PANDEMIC THREATS, THE ISDA WILL CONTRIBUTE TOWARDS STRENGTHENING NATIONAL CAPACITY TO DETECT, PREPARE AND RESPOND TO HEALTH EMERGENCIES.",17672444.0
USAID,3/10/2025,,1698081.0
USAID,3/10/2025,"EQHA II IS A NEW FIVE-YEAR AWARD AIMS TO IMPROVE AND SUSTAIN SERVICE QUALITY BY STRENGTHENING A HARMONIZED CAMBODIAN HIGH QUALITY HEALTH SYSTEM THAT WILL LEAD TO BETTER HEALTH OUTCOMES FOR ALL CAMBODIANS. THIS ACTIVITY WILL APPLY EVIDENCE-BASED GLOBAL AND LOCAL PRACTICES TO IMPROVE POLICY, GUIDELINES, STRATEGIES FOR MORE EFFECTIVE AND EFFICIENT HEALTH SYSTEMS; TO IMPROVE INDIVIDUAL AND INSTITUTIONAL CAPACITY OF THE PUBLIC AND PRIVATE SECTORS TO IMPLEMENT, MONITOR, AND EVALUATE QUALITY ASSURANCE SYSTEMS ACCORDING TO THE NATIONAL STANDARDS; AND TO IMPROVE INDIVIDUAL AND INSTITUTIONAL CAPACITY OF SUBNATIONAL HEALTH SYSTEMS TO PROVIDE QUALITY SERVICES TO ADDRESS EMERGING NATIONAL PROGRAM PRIORITIES WITH TOTAL ESTIMATED AMOUNT OF $35,000,000.",23897608.0
USAID,3/10/2025,TO PROVIDE HUMANITARIAN ASSISTANCE TO VULNERABLE COMMUNITIES IN GUATEMALA,0.0
USAID,3/10/2025,NEW 2 YEAR AWARD FOR AGRICULTURE AND WASH ACTIVITIES IN DRC.,7000000.0
USAID,3/10/2025,"TO PROVIDE LIVELIHOODS, WASH, AND SHELTER SUPPORT FOR INTERNALLY DISPLACED PEOPLE FROM CONFLICT AFFECTED AREAS IN THE DEMOCRATIC REPUBLIC OF CONGO.",8000000.0
USAID,3/10/2025,TO PROVIDE PROTECTION AND WATER AND SANITATION SERVICES TO INTERNALLY DISPLACED PEOPLE IN CONFLICT AFFECTED AREAS OF THE DEMOCRATIC REPUBLIC OF CONGO,4250000.0
USAID,3/10/2025,"THE COMMUNITY LED MONITORING ACTIVITY WILL REDUCE THE PREVALENCE OF HIV AND IMPROVE HEALTHCARE IN KYRGYZ REPUBLIC BY PROVIDING SERVICE DELIVERY THAT IS OF HIGH QUALITY AND RESPONSIVE TO CLIENT NEEDS THROUGH A COMMUNITY- LED MONITORING APPROACH. THE ACTIVITY WILL HELP PEPFAR PROGRAMS AND HEALTH INSTITUTIONS DIAGNOSE AND PINPOINT PERSISTENT PROBLEMS, CHALLENGES, AND BARRIERS RELATED TO HIV SERVICE UPTAKE AND RETENTION AT THE COMMUNITY AND FACILITY LEVEL.",220000.0
USAID,3/10/2025,TB-KHAT – MY COMMUNITY FREE OF TB ACTIVITY IN TAJIKISTAN,589265.0
USAID,3/10/2025,STRENGTHENING THE ANKAWA HUMANITARIAN COMMITTEE TO RESPOND,0.0
USAID,3/10/2025,"THE PURPOSE OF THIS AWARDS IS TO SAVE LIVES, PREVENT HIV (HUMAN IMMUNODEFICIENCY VIRUS) INFECTIONS, AND ACCELERATE PROGRESS TOWARD ACHIEVING SUSTAINABLE HIV/AIDS EPIDEMIC CONTROL IN NEPAL.",2200000.0
USAID,3/10/2025,"THROUGH USAID SUSTAINABLE HIV EPIDEMIC CONTROL, AMDA-NEPAL WILL CONTINUE PROVIDING HIV (HUMAN IMMUNODEFICIENCY VIRUS) PREVENTION, CARE, AND TREATMENT SERVICES TO KEY POPULATIONS (MEN HAVING SEX WITH MEN, TRANSGENDER PEOPLE, SEX WORKERS AND THEIR CLIENTS AND SEXUAL NETWORKS) AT HIGH-RISK FOR HIV INFECTION AND PEOPLE LIVING WITH HIV IN NEPAL.",300000.0
