Agency,Recipient,Description,Date,SAVED
USAID,DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,WHAT WORKS TO PREVENT VIOLENCE: IMPACT AT SCALE,3/1/2025,0.0
USAID,AMERICAN UNIVERSITY OF ARMENIA CORPORATION,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $1,800,000.00",3/1/2025,0.0
USAID,THE AMERICAN COLLEGE OF GREECE,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $2,000,000",3/1/2025,0.0
USAID,FOOD FOR POOR INC,"CONSTRUCTION/RENOVATION PROJECT OF $$907,683",3/1/2025,0.0
USAID,FOUNDATION OF THE UNIVERSITY OF THE VALLEY OF GUATEMALA,"CONSTRUCTION/RENOVATION PROJECT OF $$2,000,000",3/1/2025,0.0
USAID,ESCUELA AGRICOLA PANAMERICANA INC,"CONSTRUCTION/RENOVATION PROJECT OF $$900,000",3/1/2025,0.0
USAID,DEUTSCHE GESELLSCHAFT FUER INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH,"THE PURPOSE OF THIS AGREEMENT IS TO SUPPORT THE CITIES FINANCE FACILITY PROJECT (THE ""PROJECT""). THE GERMAN FEDERAL MINISTRY FOR ECONOMIC COOPERATION AND DEVELOPMENT (""BMZ"") HAS COMMISSIONED GIZ TO IMPLEMENT THE PROJECT. THE PROJECT AND ITS OBJECTIVES ARE DESCRIBED·IN DETAIL IN ANNEX 1, INCORPORATED HEREIN BY REFERENCE. USAID WISHES TO CONTRIBUTE FINANCIALLY TO THE PROJECT. GIZ WILL BE COMMISSIONED BY BMZ WITH THE PROJECT.",3/1/2025,0.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,DDI/EDU - UNDP INTERNATIONAL DISTANCE LEARNING INITIATIVE (IDLI) WITH HISTORICALLY BLACK COLLEGES AND UNIVERSITIES (HBCUS). NEW PIO,3/1/2025,0.0
USAID,CURE INTERNATIONAL INC,"COMMODITIES PROJECT OF $2,000,000",3/1/2025,0.0
USAID,CURE INTERNATIONAL INC,"COMMODITIES PROJECT OF $2,000,000",3/1/2025,0.0
USAID,THE MARANYUNDO INITIATIVE INC,"COMMODITIES PROJECT OF $$999,950",3/1/2025,0.0
USAID,RESURGE INTERNATIONAL,"COMMODITIES PROJECT OF $$2,000,000",3/1/2025,0.0
USAID,RESURGE INTERNATIONAL,"COMMODITIES PROJECT OF $2,000,000",3/1/2025,0.0
USAID,THE VELLORE CHRISTIAN MEDICAL COLLEGE FOUNDATION INC,"COMMODITIES PROJECT OF $$852,980",3/1/2025,0.0
USAID,FOOD FOR POOR INC,"COMMODITIES PROJECT OF $$696,332",3/1/2025,0.0
USAID,CHILDREN OF NATIONS,"COMMODITIES PROJECT OF $$498,000",3/1/2025,0.0
USAID,NPI,"COMMODITIES PROJECT OF $$1,995,161",3/1/2025,0.0
USAID,"LAU HEALTH FOUNDATION, INC.","COMMODITIES PROJECT OF $$2,000,000",3/1/2025,0.0
USAID,"THE AMERICAN CENTER OF RESEARCH, INCORPORATED","COMMODITIES PROJECT OF $$201,446",3/1/2025,0.0
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE","COMMODITIES PROJECT OF $$1,970,000.00",3/1/2025,0.0
USAID,"AMERICAN COMMITTEE FOR SHAARE ZEDEK HOSPITAL IN JERUSALEM, INC","COMMODITIES PROJECT OF $$1,929,133.00",3/1/2025,0.0
USAID,LEBANESE AMERICAN UNIVERSITY,"COMMODITIES PROJECT OF $$1,950,000.00",3/1/2025,0.0
USAID,STIFTELSEN INTOSAI DEVELOPMENT INITIATIVE (IDI),THE ACTIVITY SEEKS TO ACHIEVE THE FOLLOWING OBJECTIVES: IMPROVE THE CAPACITY OF SAIS TO PROMOTE TRANSPARENCY IN THE USE OF PUBLIC FUNDS AND COMBAT CORRUPTION IN THE PUBLIC SECTOR.,3/1/2025,0.0
USAID,OCDE,"THE ACTIVITY SEEKS TO ADVANCE THE AGENCY’S GOALS TO MITIGATE OPPORTUNITIES FOR CORRUPTION, IMPROVE SPENDING EFFICIENCY WITHIN AND ACROSS SECTORS AND ENABLE LOCALIZATION THROUGH GOVERNMENT-TO-GOVERNMENT (G2G) PROGRAMMING.",3/1/2025,0.0
USAID,INTERN INST FOR DEMOCRACY & ELECTORAL ASSISTANCE,INTERNATIONAL INSTITUTE FOR DEMOCRACY AND ELECTORAL ASSISTANCE (INTERNATIONAL IDEA) SUMMIT FOR DEMOCRACY SUPPORT MECHANISM (S4D SM) AND THE CLIMATE CHANGE-DEMOCRACY COMMUNITY OF PRACTICE (CCD-COP) PUBLIC INTERNATIONAL ORGANIZATION (PIO) AGREEMENT,3/1/2025,0.0
USAID,OCDE,"TO COMPLETE GLOBAL CONSULTATIONS ABOUT THE IMPACTS OF AI ON HUMAN RIGHTS, PARTICULARLY FOCUSING ON COMMUNITIES IN THE GLOBAL MAJORITY. THESE CONSULTATIONS WILL HELP INFORM AI AND HUMAN RIGHTS GUIDELINES THE OECD IS IN THE PROCESS OF WRITING.",3/1/2025,0.0
USAID,OCDE,ORGANIZATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT (OECD) JUSTICE ACTION COALITION (JAC) SECRETARIAT GENERAL CONTRIBUTION PUBLIC INTERNATIONAL ORGANIZATION (PIO) AGREEMENT.,3/1/2025,0.0
USAID,ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT,"A COMPONENT OF PROINFO, THE PIO WILL FOCUS ON EXPANDING ENGAGEMENT BEYOND OECD MEMBER COUNTRIES TO NON- OECD MEMBER COUNTRIES TO ADDRESS THE CHALLENGES TO INFORMATION INTEGRITY AND RESILIENCE (IIR), AS WELL AS PROVIDE A PLATFORM TO SUPPORT COORDINATION AND TWO-WAY ENGAGEMENT BETWEEN OECD MEMBER AND NON-MEMBER COUNTRIES.",3/1/2025,0.0
USAID,UNICEF,FUND UNICEF JUNIOR PROFESSIONAL OFFICER PROGRAMMEE,3/1/2025,0.0
USAID,CARE,REGIONAL RAPID RESPONSE MECHANISM FOR SOUTHERN AFRICA,3/1/2025,0.0
USAID,UNIVERSITE CATHOLIQUE DE LOUVAIN,EM-DAT PROJECT,3/1/2025,0.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,TO SUPPORT FAO'S APO PROGRAM,3/1/2025,0.0
USAID,FEDERATION INTERNATIONALE DES SOCIETES DE LA CROIX-ROUGE ET DU CROISSANT ROUGE,TO DEVELOP NATURE BASE SOLUTION DRR PROGRAM FOR VULNERABLE POPULATIONS,3/1/2025,0.0
USAID,OCDE,USAID SUPPORT FOR OBJECTIVES IN THE OECD PROGRAM OF WORK AND BUDGET (PWB),3/1/2025,0.0
USAID,OCDE,WORK IN SUPPORT OF THE INTERNATIONAL FORUM ON TOTAL OFFICIAL SUPPORT FOR SUSTAINABLE DEVELOPMENT (TOSSD) SECRETARIAT IN 2026,3/1/2025,0.0
USAID,UNITED NATIONS OFFICE FOR PROJECT SERVICES,SUPPORT TO UNOPS FOR THE IMPLEMENTATION OF AID TRANSPARENCY EFFORTS RELATED TO THE INTERNATIONAL AID TRANSPARENCY INITIATIVE (IATI),3/1/2025,0.0
USAID,UNITED NATIONS OFFICE FOR PROJECT SERVICES,INTERNATIONAL AID TRANSPARENCY INITIATIVE (IATI)-CONTRIBUTION TO UNOPS,3/1/2025,0.0
USAID,OCDE,TO SUPPORT THE OBJECTIVES IN THE OECD DEVELOPMENT ASSISTANCE COMMITTEE (DAC)’S 2019–2020 PROGRAM OF WORK AND BUDGET (PWB).,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,THE WORLD BANK AND USAID ARE LOOKING TO BUILD ON THE SUCCESSES OF THE AGRICULTURAL INSURANCE DEVELOPMENT PROGRAM (AIDP) TO SUPPORT GOVERNMENTS IN INCREASING FINANCIAL RESILIENCE OF THEIR ECONOMY AND POPULATION TO NATURAL DISASTERS AND OTHER SHOCKS.,3/1/2025,0.0
USAID,UNICEF,TO ACCELERATE POLITICAL WILL AND IMPROVE GOVERNANCE AND FINANCING SYSTEMS NEEDED TO ACHIEVE UNIVERSAL ACCESS TO SAFE WATER AND ADEQUATE SANITATIONS AS OUTLINED IN SUSTAINABLE DEVELOPMENT GOAL 6.,3/1/2025,0.0
USAID,INTERNATIONAL FOOD POLICY RESEARCH INSTITUTE,"TO SUPPORT ACTIVITIES UNDERAKEN BY IFPRI TO GENERATE AND APPLY ANALYTIC TOOLS AND STRENGTHEN POLICY SYSTEMS TO PROMOTE INCLUSIVE AGRICULTURE-LED GROWTH, NUTRITION, RESILIENCE, AND WATER SECURITY, SANITATION AND HYGIENE.",3/1/2025,0.0
USAID,IFAD,THE SMALL HOLDER AND AGRI SME FINANCE AND INVESTMENT NETWORK (SAFIN) IS A GLOBAL NETWORK THAT WAS CONCEIVED BY THE INTERNATIONAL FUND FOR AGRICULTURAL DEVELOPMENT IN 2017 TO FOSTER DIALOGUE AND ALIGNMENT ACROSS STAKEHOLDERS THAT ARE ACTIVE ON BOTH THE DEMAND AND SUPPLY SEGMENTS OF AGRI-SME FINANCE.,3/1/2025,0.0
USAID,UNITED NATIONS RESEARCH INSTITUTE FOR SOCIAL DEVELOPMENT,"THE NEGATIVE SOCIAL AND ECONOMIC IMPACTS OF THE COVID-19 PANDEMIC BROUGHT TO THE FOREFRONT THE NEED TO PROTECT PEOPLE IN TIMES OF SHOCKS THROUGH LARGE, ESTABLISHED RISK MANAGEMENT TOOLS SUCH AS NATIONAL SOCIAL PROTECTION SYSTEMS.",3/1/2025,0.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,"THIS ALLOWS RFS AND MISSION BUY-INS FOR SPECIFIC ACTIVITIES WHICH SUPPORT FOOD SECURITY, AGRICULTURE, WASH, NUTRITION, RESILIENCE AND CLIMATE CHANGE PROGRAMMING WHERE FAO IS BEST PLACED TO RESPOND.",3/1/2025,0.0
USAID,HORN OF AFRICA EDUCATION DEVELOPMENT FUND,2018 ASHA COOPERATIVE AGREEMENTS CONSTRUCTION PROJECT AND COMMODITIES,3/1/2025,0.0
USAID,LIVINGSTONE UNIVERSITY PARTNERS,2018 ASHA COOPERATIVE AGREEMENTS CONSTRUCTION PROJECT AND COMMODITIES,3/1/2025,0.0
USAID,AMERICAN UNIVERSITY OF ARMENIA CORPORATION,2018 ASHA COOPERATIVE AGREEMENTS CONSTRUCTION PROJECT AND COMMODITIES,3/1/2025,0.0
USAID,HUGHES SCHOOLS,2018 ASHA COOPERATIVE AGREEMENTS CONSTRUCTION PROJECT AND COMMODITIES,3/1/2025,0.0
USAID,"ORGANIZATION FOR TROPICAL STUDIES, INC.",2018 ASHA COOPERATIVE AGREEMENTS CONSTRUCTION PROJECT AND COMMODITIES,3/1/2025,0.0
USAID,THE AMERICAN SCHOOL OF TANGIER,2018 ASHA COOPERATIVE AGREEMENTS CONSTRUCTION PROJECT AND COMMODITIES,3/1/2025,0.0
USAID,WOMENS GLOBAL EDUCATION PROJECT,"$494,993 COOPERATIVE AGREEMENT WITH WOMEN’S GLOBAL EDUCATION PROJECT TO CONSTRUCT AND EQUIP A LIBRARY AND COMPUTER CENTER THAT WILL BECOME A CENTER FOR LEARNING AND CIVIC ENGAGEMENT IN REMOTE THARAKA NITHI COUNTY, KENYA.",3/1/2025,0.0
USAID,THE JOHNS HOPKINS UNIVERSITY,"$1,100,000 TO CONSTRUCT 4 FLOORS OF THE FIRST WING ON THE MAKERERE UNIVERSITY SCHOOL OF PUBLIC HEALTH (MAKSPH) BUILDING TO ACCOMMODATE THE MAKSPH CENTER OF EXCELLENCE IN GLOBAL HEALTH (MAKCEGH)",3/1/2025,0.0
USAID,FOOD FOR POOR INC,"$579,612.00 CONSTRUCTION AWARD.",3/1/2025,0.0
USAID,ESCUELA AGRICOLA PANAMERICANA INC,"$412,500 - COOPERATIVE AGREEMENT FOR THE CONSTRUCTION AND INSTALLATION ON THE ZAMORANO UNIVERSITY CAMPUS OF PERMANENT SPECIALIZED GREENHOUSES FOR APPLIED RESEARCH AND EDUCATION/TRAINING IN HORTICULTURE PRODUCTION, ENABLING ESTABLISHMENT OF THE GREENHOUSE HORTICULTURE PROGRAM FOR LATIN AMERICA",3/1/2025,0.0
USAID,HUGHES SCHOOLS,"$302,500.00 CONSTRUCTION AND COMMODITIES PROJECT",3/1/2025,0.0
USAID,INCAE FOUNDATION,"$402,332 COOPERATIVE AGREEMENT FOR RENOVATION OF DORMITORIES",3/1/2025,0.0
USAID,HOPITAL ALBERT SCHWEITZER,"$539,000.00 CONSTRUCTION AND COMMODITIES PROJECT",3/1/2025,0.0
USAID,AMERICAN UNIVERSITY OF BEIRUT,"$1,300,000 THE COOPERATIVE AGREEMENT WITH AMERICAN UNIVERSITY OF BEIRUT AIMS TO ESTABLISH, RENOVATE AND ACQUIRE COMMODITIES FOR AN INTEGRATED WATER RESOURCE MANAGEMENT FOR SEMI-ARID CONDITION.",3/1/2025,0.0
USAID,CHRISTIAN BROTHERS CONFERENCE,"$969,170.00 GRANT FOR COMMODITIES TO FURNISH A SCIENTIFIC LABORATORY IN ETHIOPIA",3/1/2025,0.0
USAID,TEXAS CHILDREN'S HOSPITAL,"$1,100,000.00 COMMODITIES AWARD.",3/1/2025,0.0
USAID,"AMERICAN FRIENDS OF THE EPISCOPAL DIOCESE OF JERUSALEM, INC",2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,CHRISTIAN BROTHERS CONFERENCE,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,HUGHES SCHOOLS,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,THE RIECKEN FOUNDATION,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,"SAMARITAN MEDICAL OUTREACH MINISTRIES, INC.",2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,FOOD FOR POOR INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,ST LUKES HEALTH CARE FOUNDATION,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,USA MIDWEST PROVINCE OF THE SOCIETY OF JESUS INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,ESCUELA AGRICOLA PANAMERICANA INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,AMERICAN UNIVERSITY OF BEIRUT,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,INCAE FOUNDATION,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,AMERICARES FOUNDATION INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,CENTRAL EUROPEAN UNIVERSITY,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,"CATHOLIC MEDICAL MISSION BOARD, INC.",2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,HIMALAYAN CATARACT PROJECT INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,AMERICAN UNIVERSITY IN KOSOVO FOUNDATION INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,REACH FOR UGANDA INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,MASS DESIGN GROUP LTD,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,AMERICAN LEPROSY MISSIONS INC,2020 ASHA COOPERATIVE AGREEMENT CONSTRUCTION PROJECT,3/1/2025,0.0
USAID,LIFENET INTERNATIONAL,2020 ASHA GRANT COMMODITIES PROJECT,3/1/2025,0.0
USAID,LA SALLE INTERNATIONAL FOUNDATION INC,2020 ASHA GRANT COMMODITIES PROJECT,3/1/2025,0.0
USAID,AMERICAN COLLEGE OF SURGEONS,2020 ASHA GRANT COMMODITIES PROJECT,3/1/2025,0.0
USAID,TEXAS CHILDREN'S HOSPITAL,2020 ASHA GRANT COMMODITIES PROJECT,3/1/2025,0.0
USAID,HIMALAYAN CATARACT PROJECT INC,2020 ASHA GRANT COMMODITIES PROJECT,3/1/2025,0.0
USAID,"HOPEXCHANGE, INC","CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $1,265,000.00",3/1/2025,0.0
USAID,WOMENS GLOBAL EDUCATION PROJECT,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $105,558.00",3/1/2025,0.0
USAID,MEDICAL BENEVOLENCE FOUNDATION,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $1,100,000.00",3/1/2025,0.0
USAID,PURDUE UNIVERSITY,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $905,000.00",3/1/2025,0.0
USAID,"FOUNDATION FOR CANCER CARE, THE","CONSTRUCTION/RENOVATION PROJECT OF $1,050,000.00",3/1/2025,0.0
USAID,LUBUTO LIBRARY PARTNERS,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $750,000.00",3/1/2025,0.0
USAID,SALESIAN MISSIONS,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $1,390,000.00",3/1/2025,0.0
USAID,AMERICAN LEPROSY MISSIONS INC,"CONSTRUCTION/RENOVATION PROJECT OF $640,394.00",3/1/2025,0.0
USAID,AMERICAN HIMALAYAN FOUNDATION,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $881,393.00",3/1/2025,0.0
USAID,SALESIAN MISSIONS,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $1,400,000.00",3/1/2025,0.0
USAID,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE","CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $421,681.00",3/1/2025,0.0
USAID,HOPITAL ALBERT SCHWEITZER,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $1,205,000.00",3/1/2025,0.0
USAID,"CATHOLIC MEDICAL MISSION BOARD, INC.","CONSTRUCTION/RENOVATION PROJECT OF $700,000.00",3/1/2025,0.0
USAID,CHRISTIAN BROTHERS CONFERENCE,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $640,000.00",3/1/2025,0.0
USAID,FRIENDS UNITED MEETING INC,"CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $1,300,000.00",3/1/2025,0.0
USAID,"BRIGHT STARS OF BETHLEHEM, NFP","CONSTRUCTION/RENOVATION AND COMMODITIES PROJECT OF $900,000.00",3/1/2025,0.0
USAID,OREGON STATE UNIVERSITY FOUNDATION,"COMMODITIES PROJECT OF $500,000.00",3/1/2025,0.0
USAID,"THE HEALEY INTERNATIONAL RELIEF FOUNDATION, INC.","COMMODITIES PROJECT OF $242,320.00",3/1/2025,0.0
USAID,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,"COMMODITIES PROJECT OF $300,000.00",3/1/2025,0.0
USAID,LIFENET INTERNATIONAL,"COMMODITIES PROJECT OF $500,000.00",3/1/2025,0.0
USAID,CURE INTERNATIONAL INC,"COMMODITIES PROJECT OF $1,305,000.00",3/1/2025,0.0
USAID,THE VELLORE CHRISTIAN MEDICAL COLLEGE FOUNDATION INC,"COMMODITIES PROJECT OF $792,030.00",3/1/2025,0.0
USAID,AMERICAN UNIVERSITY IN KOSOVO FOUNDATION INC,"COMMODITIES PROJECT OF $670,000.00",3/1/2025,0.0
USAID,FOOD FOR POOR INC,"COMMODITIES PROJECT OF $500,000.00",3/1/2025,0.0
USAID,FOUNDATION OF THE UNIVERSITY OF THE VALLEY OF GUATEMALA,"COMMODITIES PROJECT OF $1,400,000.00",3/1/2025,0.0
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE","COMMODITIES PROJECT OF $1,065,000.00",3/1/2025,0.0
USAID,NPI,"COMMODITIES PROJECT OF $1,500,000.00",3/1/2025,0.0
USAID,"AMERICAN COMMITTEE FOR THE WEIZMANN INSTITUTE OF SCIENCE, INC.","COMMODITIES PROJECT OF $1,275,000.00",3/1/2025,0.0
USAID,LEBANESE AMERICAN UNIVERSITY,"COMMODITIES PROJECT OF $1,500,000.00",3/1/2025,0.0
USAID,ACDI/VOCA,VICTORY AGAINST MALNUTRITION PLUS (VIMPLUS),3/1/2025,0.0
USAID,UNITED NATIONS OFFICE FOR PROJECT SERVICES,CITIES ALLIANCE PIO,3/1/2025,0.0
USAID,AFRICAN DE DEVELOPPEMENT BANK GROUP SA,CONTRIBUTION TO PROGRAM TO BOOST THE LOCAL PRODUCTION OF CEREALS AND OIL GRAINS AS THE MOST EFFECTIVE AND EFFICIENT WAY TO BUILD THE RESILIENCE OF AFRICA’S FOOD SYSTEMS TO RESPOND TO THESE CIRCUMSTANCES AND MITIGATE RISKS TO SUPPLY IN THE SHORT TO MEDIUM TERM.,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,THE COLLABORATIVE WILL DELIVER GLOBAL KNOWLEDGE PRODUCTS AND TOOLS TO INFORM THE EVIDENCE-BASED SCALE UP OF ECONOMIC INCLUSION PROGRAMS THROUGH GOVERNMENT SYSTEMS.,3/1/2025,0.0
USAID,ASIAN VEGETABLE RESEARCH AND DEVELOPMENT CENTER,"“VEGETABLE PRODUCTION FOR IMPROVED RESILIENCE AND NUTRITION PROGRAM” IMPLEMENTED THROUGH FOUR OUTCOME-ORIENTED FLAGSHIP PROGRAMS: ‘SAFE AND SUSTAINABLE VALUE CHAINS’, ‘HEALTHY DIETS’, ‘VEGETABLE DIVERSITY AND IMPROVEMENT’, AND THE CROSS-CUTTING ‘ENABLING IMPACT’.",3/1/2025,0.0
USAID,AKADEMIYA2063 (A2063),COOPERATIVE AGREEMENT WITH AKADEMIYA2063 TO ESTABLISH THE FEED THE FUTURE POLICY SUPPORT FOR AFRICAN FOOD SYSTEMS WITH A PERIOD OF PERFORMANCE OF FIVE YEARS,3/1/2025,0.0
USAID,GLOBAL CROP DIVERSITY TRUST,"CONTRIBUTION TO THE GLOBAL CROP DIVERSITY TRUST’S OVERALL ORGANIZATIONAL OPERATION AND SUPPORT, TO ADVANCE THE ORGANIZATION'S MISSION OF LONG-TERM CONSERVATION AND AVAILABILITY OF PLANT GENETIC RESOURCES FOR FOOD AND AGRICULTURE, WITH A VIEW TO ACHIEVING GLOBAL FOOD SECURITY AND SUSTAINABLE AGRICULTURE.",3/1/2025,0.0
USAID,ALLIANCE FOR A GREEN REVOLUTION IN AFRICA,"AGRA PIO TO STRENGTHEN AFRICA’S SEED SYSTEMS IS A FUNDAMENTAL REQUIREMENT FOR SUSTAINABLY ENHANCING PRODUCTIVITY, FARMER INCOME, AS WELL AS NUTRITION AND FOOD SECURITY IN LINE WITH THE CONTINENT’S VISION LAID OUT IN MALABO DECLARATION ON ACCELERATED AGRICULTURAL GROWTH AND TRANSFORMATION, AFRICA’S AGENDA 2063, AND THE UN SUSTAINABLE DEVELOPMENT GOALS.",3/1/2025,0.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,No description available,3/1/2025,0.0
USAID,COOPERATIVE HOUSING FOUNDATION,No description available,3/1/2025,0.0
USAID,"SAVE THE CHILDREN FEDERATION, INC.",No description available,3/1/2025,0.0
USAID,JSPE MANAGEMENT LLC,No description available,3/1/2025,0.0
USAID,ABRAAJ CAPITAL PAKISTAN LIMITED,No description available,3/1/2025,0.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,No description available,3/1/2025,0.0
USAID,ASIAN DEVELOPMENT BANK,No description available,3/1/2025,0.0
USAID,SMALL ENTERPRISE ASSISTANCE FUNDS,No description available,3/1/2025,0.0
USAID,"COUNTERPART INTERNATIONAL, INC.",No description available,3/1/2025,0.0
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,No description available,3/1/2025,0.0
USAID,POPULATION SERVICES INTERNATIONAL,No description available,3/1/2025,0.0
USAID,FREEDOM HOUSE,No description available,3/1/2025,0.0
USAID,CRS - USCCB,No description available,3/1/2025,0.0
USAID,ORGANIZATION FOR ECONOMIC COOPERATION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,TUNISIAN-AMERICAN ENTERPRISE FUND,No description available,3/1/2025,0.0
USAID,IFDC,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,INTERNATIONAL TRADE CENTRE,No description available,3/1/2025,0.0
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,No description available,3/1/2025,0.0
USAID,CROSSBOUNDARY LLC,No description available,3/1/2025,0.0
USAID,"SAVE THE CHILDREN FEDERATION, INC.",No description available,3/1/2025,0.0
USAID,"WORLD WILDLIFE FUND, INC.",No description available,3/1/2025,0.0
USAID,MOMENTUM WHEELS FOR HUMANITY,No description available,3/1/2025,0.0
USAID,UNITED NATIONS,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundacion Avina Argentina,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PRO VIVIENDA SOCIAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Civil Programa Andrés Rosario,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PRO VIVIENDA SOCIAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Love Foundation,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Asociación de Padres Madres y Familiares de Niños, Niñas y Jovenes con Discapacidad Jach´a Uru",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación ECOTOP,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ONG Asociación PROCESO Servicios Educativos,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comissão PAstoral da Terra,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Cáritas Brasileira Regional Maranhão,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comradio do Brasil Instituto,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Casa da Mulher do Nordeste,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CARITAS BRASILEIRA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDO POSITIVO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,INSTITUTO DE DESENVOLVIMENTO E FORMAÇÃO CIDADÃ,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Escola Família Agrícola Jaguaribana,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Educação Popular e Formação Social,No description available,3/4/2025,0.0
